46 : 66755284.879693575
Gen 6281 : 65766812.18649593
Gen 6282 : 65766211.09953972
Gen 6283 : 65765130.05271235
Gen 6284 : 65760312.47140177
Gen 6285 : 65756815.82333763
Gen 6286 : 65754737.975115456
Gen 6287 : 65754576.45597821
Gen 6288 : 65754443.83524232
Gen 6289 : 65754045.011049345
Gen 6290 : 65753963.398024485
Gen 6291 : 65749307.97295904
Gen 6292 : 65742750.10156936
Gen 6293 : 65738919.34687204
Gen 6294 : 65731857.33738991
Gen 6295 : 65722520.34572662
Gen 6296 : 65712914.41430976
Gen 6297 : 65708248.00077607
Gen 6298 : 65705799.48528878
Gen 6299 : 65705069.197183885
Gen 6300 : 65693641.735891715
Gen 6301 : 65692822.94363357
Gen 6302 : 65692312.20864094
Gen 6303 : 65687838.37459168
Gen 6304 : 65685528.78563528
Gen 6305 : 65678274.44407966
Gen 6306 : 65670330.56332117
Gen 6307 : 65665903.70844827
Gen 6308 : 65659176.11171984
Gen 6309 : 65658070.90210584
Gen 6310 : 65658052.1084526
Gen 6311 : 65658036.40989819
Gen 6312 : 65657800.279253244
Gen 6313 : 65657771.70776043
Gen 6314 : 65653478.282721944
Gen 6315 : 65650587.163715765
Gen 6316 : 65650507.14069717
Gen 6317 : 65641760.62016312
Gen 6318 : 65641741.55354418
Gen 6319 : 65634091.16051247
Gen 6320 : 65633844.61978018
Gen 6321 : 65629872.35356339
Gen 6322 : 65629741.512087084
Gen 6323 : 65629731.269782595
Gen 6324 : 65627455.58545502
Gen 6325 : 65616937.21736557
Gen 6326 : 65616866.518468566
Gen 6327 : 65616623.09606803
Gen 6328 : 65613822.71526509
Gen 6329 : 65608635.379565544
Gen 6330 : 65604260.91500817
Gen 6331 : 65604077.61717693
Gen 6332 : 65602925.75295005
Gen 6333 : 65600837.43984669
Gen 6334 : 65600455.78684031
Gen 6335 : 65598677.49434633
Gen 6336 : 65596681.77291005
Gen 6337 : 65590897.31270319
Gen 6338 : 65590673.5664228
Gen 6339 : 65589965.245371945
Gen 6340 : 65587293.82196218
Gen 6341 : 65583139.00926605
Gen 6342 : 65582859.21463363
Gen 6343 : 65577451.95802827
Gen 6344 : 65575520.014022544
Gen 6345 : 65574677.5591212
Gen 6346 : 65569452.23927579
Gen 6347 : 65569162.079568215
Gen 6348 : 65564425.42668674
Gen 6349 : 65562912.60658016
Gen 6350 : 65561976.36539083
Gen 6351 : 65561267.65954251
Gen 6352 : 65560115.36896255
Gen 6353 : 65559392.00666164
Gen 6354 : 65559197.974936135
Gen 6355 : 65555208.46030583
Gen 6356 : 65553789.888328396
Gen 6357 : 65553474.86252007
Gen 6358 : 65553399.50142713
Gen 6359 : 65547374.33010985
Gen 6360 : 65542864.975810885
Gen 6361 : 65540175.92346758
Gen 6362 : 65539094.75719897
Gen 6363 : 65538497.4754576
